,verse,initial results,filtered stop-subverses,filtered multiple attributions,"""sure"" citations"
772,Zj 22:12,1,1,0,0
773,Mt 16:27,2,2,1,1
774,L 17:22,3,3,3,3
775,L 17:23,5,3,2,0
776,J 19:11,5,5,4,0
777,Ef 1:5,188,0,0,0
778,Iz 61:9,4,4,4,0
779,1Kr 13:11,2,0,0,0
780,Ez 45:4,2,0,0,0
781,Nu 14:40,1,0,0,0
782,Mk 7:31,1,1,1,0
783,Mt 15:29,1,1,1,0
784,Iz 1:29,5,1,1,0
785,L 11:4,19,19,1,0
786,Mt 6:13,23,23,21,0
787,1Te 5:9,6,6,4,0
788,R 15:30,5,5,0,0
