,size,Group,Verse text
John 4:48,1,6-10,"I řekl jemu Ježíš: Neuzříte-li divů a zázraků, neuvěříte."
Luke 11:28,1,3-5,"On pak řekl: Anobrž blahoslavení, kteříž slyší slovo Boží, a ostříhají jeho."
Matt 20:1,1,3-5,"Podobno jest Království Nebeské člověku hospodáři, kterýž vyšel na usvitě, aby najal dělníky na vinnici svou."
John 12:13,1,6-10,"nabral ratolestí palmových a vyšli naproti němu a volali: „Hosanna, požehnaný, jenž se béře ve jménu Páně, král israelský.“"
Matt 23:39,1,6-10,"neboť pravím vám: neuzříte mě od této chvíle, dokavad neřeknete: ,Požehnaný, jenž se béře ve jménu Páně.‘“"
Luke 1:33,1,3-5,a království jeho nebude konce.“
Luke 1:38,1,3-5,"I řekla Maria: Aj, děvka Páně, staniž mi se podlé slova tvého. I odšel od ní anděl."
Mark 8:34,1,6-10,"A svolav zástup s učedlníky svými, řekl jim: Chce-li kdo za mnou přijíti, zapři sebe sám, a vezmi kříž svůj, a následúj mne."
John 14:27,1,6-10,"Pokoj svůj zůstavuji vám, pokoj svůj dávám vám; ne jako svět dává, já vám dávám. Nermutiž se srdce vaše, aniž se strachuj."
Luke 18:33,1,3-5,"a když jej zbičují, zabijí ho; ale třetího dne vstane z mrtvých."
Luke 2:10,1,16-20,"I řekl jim anděl: „Nebojte se, neboť hle, zvěstují vám radost velikou, která bude všemu lidu."
Matt 10:32,1,6-10,"Kdožkoli tedy vyzná mne před lidmi, vyznámť i já jej před Otcem svým, kterýž jest v nebesích."
Matt 10:33,1,6-10,"Kdož by pak mne zapřel před lidmi, zapřímť ho i já před Otcem svým, kterýž jest v nebesích."
Matt 23:9,1,6-10,"A otce nenazývejte sobě na zemi; nebo jeden jest Otec váš, kterýž jest v nebesích."
Luke 20:25,1,20+,"I řekl jim: „Dávejte tedy, co je císařovo, císaři, a co jest Božího, Bohu.“"
Mark 13:31/Matt 24:35/Luke 21:33,1,16-20,Nebe a země pominou: ale slova má nepominou.
Matt 20:16,1,20+,"Tak budou poslední prvními a první posledními; neboť mnoho jest povolaných, ale málo vyvolených.“"
Gen 1:2,1,3-5,"Země však byla pustá a prázdná, tma byla nad hlubinou, a duch Boží vznášel se nad vodami."
Heb 1:1,1,3-5,"Proti Šimonovi Čarodějníkovi, a proti jiným kacířům, kteří Anjely příliš vyvyšovali, dokazuje S. Pavel, že Kristus Pán jest Bůh, a proto že jest o mnoho vyšší, nežli Mojžíš, a Proroci, i všickni Anjelé"
Luke 6:27,1,11-15,"Ale vám-ť pravím kteříž slyšíte: Milůjte nepřátely své, dobře čiňte těm kteříž vás nenávidí."
Luke 2:34,1,6-10,"A Simeon blahoslavil je a řekl k Marii, matce jeho: „Hle tento jest ustanoven ku pádu a ku povstání mnohých v Israeli a na znamení, jemuž budou odpírati,"
Matt 6:26,1,3-5,"Pohleďte na ptactvo nebeské že neseje, ani nežne, ani neshromažďuje do stodol, a Otec váš nebeský živí je. Nejste-li vy dražší nežli ono?"
John 6:51,1,3-5,"Já jsem chléb živý, jenž s nebe sestoupil."
Luke 22:31,1,3-5,"I řekl Pán: „Šimone, Šimone, hle, satan vyžádal si vás, aby vás tříbil jako pšenici,"
Matt 16:16,1,6-10,"Odpovídaje Šimon Petr, řekl: Ty jsi Kristus Syn Boha živého."
Ps 117:26,1,6-10,"Požehnán buď, jenž přichází ve jménu Páně, žehnáme vám z Hospodinova domu."
Luke 15:7,1,6-10,"Pravím vám, že tak bude větší radost v nebesích nad jedním hříšníkem pokání činícím, než nad devadesáti devíti spravedlivými, kteří pokání nepotřebují.“"
