,verse,initial results,filtered stop-subverses,filtered multiple attributions,"""sure"" citations"
636,Ps 51:3,11,11,7,0
637,Ps 30:10,14,0,0,0
638,Ps 50:3,12,12,9,0
639,Ps 56:2,18,18,3,0
640,Luke 18:38,37,2,2,0
641,Luke 18:39,46,4,0,0
642,Mark 10:47,37,37,2,0
643,Mark 10:48,37,37,18,0
644,Acts 4:21,10,0,0,0
645,Jas 4:6,4,4,3,0
646,1John 5:1,2,1,0,0
647,Acts 18:5,1,1,0,0
648,Acts 18:28,1,1,0,0
649,1John 2:22,1,1,0,0
650,John 20:30,2,2,2,1
651,John 21:25,2,1,1,0
652,Rev 22:19,1,1,0,0
653,Luke 13:11,1,1,1,0
654,Luke 14:5,1,1,1,0
655,Matt 5:12,100,1,1,0
656,2Sam 10:14,24,0,0,0
657,Zech 9:9,2,2,2,0
658,Rev 19:16,2,2,2,1
659,1Tim 6:15,4,4,3,0
660,Rev 11:15,2,2,2,0
661,1Sam 17:55,9,0,0,0
662,Acts 4:12,1,1,1,0
663,Luke 19:14,1,1,1,0
664,John 2:4,5,5,5,0
665,John 13:1,12,7,6,0
666,Jer 32:24,4,0,0,0
667,Gen 27:40,1,1,1,0
668,John 8:44,3,3,2,0
669,Gen 13:8,4,4,4,1
670,1Pet 3:18,13,13,12,0
671,Rom 4:21,75,9,9,0
672,Luke 17:9,15,0,0,0
673,Ps 32:5,10,0,0,0
674,Jer 50:20,1,0,0,0
675,Prov 28:12,3,0,0,0
676,John 14:23,3,2,2,2
677,2Chr 7:6,2,2,1,0
678,1Chr 16:41,1,1,0,0
679,Ps 148:1,1,1,1,0
680,Tob 8:7,2,0,0,0
681,Dan 3:26,2,2,2,0
682,Dan 3:52,2,2,0,0
683,Deut 3:22,27,2,1,0
684,2Thess 3:5,2,2,2,0
685,Luke 3:6,4,4,4,4
686,Prov 8:13,2,0,0,0
687,Matt 4:5,1,1,1,0
688,Luke 4:11,2,2,1,0
689,1Sam 10:24,3,3,3,0
690,2Sam 16:18,3,3,3,0
691,Deut 7:6,4,4,1,0
692,Luke 16:29,2,2,2,0
693,Luke 16:31,13,1,0,0
694,John 21:14,6,6,4,0
695,Acts 10:41,6,6,0,0
696,Matt 13:26,1,1,0,0
697,Matt 28:6,38,1,0,0
698,Eph 5:2,3,3,2,0
699,Acts 8:12,14,0,0,0
700,Josh 19:47,9,1,1,0
701,Gen 8:9,1,1,1,0
702,Song 2:2,1,1,1,0
703,Song 4:7,2,2,2,0
704,Rev 12:1,2,2,2,0
705,Matt 9:18,4,3,3,0
706,Exod 23:20,14,0,0,0
707,1Cor 5:4,2,0,0,0
708,1Cor 6:11,1,0,0,0
709,2Cor 1:14,3,2,1,0
710,Eph 5:20,1,0,0,0
711,2Thess 3:6,19,1,1,0
712,Isa 25:1,5,0,0,0
713,1Tim 4:16,20,0,0,0
714,Ezek 20:6,1,1,1,0
715,Acts 25:24,1,0,0,0
716,Matt 26:7,28,1,1,0
717,Mark 10:9,7,7,7,7
718,Matt 19:6,5,5,0,0
719,1Kgs 22:17,1,1,0,0
720,2Chr 18:16,1,1,1,0
721,Num 27:17,1,1,0,0
722,Jdt 11:15,2,1,0,0
723,Gen 3:5,9,9,7,0
724,John 14:6,35,35,30,0
725,Acts 13:6,3,3,3,0
726,Matt 12:33,1,1,1,0
727,Matt 19:17,10,10,7,0
728,1John 4:2,1,1,0,0
729,1John 4:3,2,2,2,2
730,Num 31:36,4,0,0,0
731,Isa 42:3,4,4,3,0
732,Matt 12:20,4,4,2,0
733,Acts 3:6,16,8,7,0
734,Judg 8:3,7,0,0,0
735,John 13:15,7,7,7,0
736,Matt 16:13,3,3,3,0
737,Luke 4:41,17,17,0,0
738,Matt 16:16,16,16,12,0
739,Matt 16:15,1,1,1,1
740,Eph 5:9,20,0,0,0
741,Deut 5:7,3,3,0,0
742,Exod 20:3,3,3,0,0
743,Matt 6:24,21,21,14,1
744,Matt 7:14,3,3,3,1
745,Matt 7:13,4,4,3,3
746,Acts 16:14,34,1,1,0
747,2Cor 1:19,2,2,2,0
748,Ps 27:1,2,1,1,0
749,Matt 7:16,12,12,11,0
750,1Macc 1:32,1,0,0,0
751,Hos 3:1,1,0,0,0
752,Heb 12:22,73,0,0,0
753,Acts 15:5,18,1,1,0
754,2Macc 2:22,74,0,0,0
755,John 16:23,7,7,3,0
756,John 9:35,3,3,1,0
757,Heb 7:21,12,0,0,0
758,Prov 4:7,6,6,3,0
759,Matt 7:1,12,12,11,11
760,Jas 5:9,15,15,3,0
761,Luke 22:48,4,4,4,0
762,Matt 23:21,1,0,0,0
763,Acts 26:2,4,3,3,0
764,Luke 6:16,4,2,2,0
765,John 7:46,3,2,2,0
766,John 16:8,5,5,5,0
